"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD"
"197" "2016-04-30" 223 117 94 3.38143604746019 0.551317791256075 2.85184918769448 0.527097045393202
"196" "2016-04-23" 247 131 110 3.44759778664934 0.627766983812202 2.86142268961178 0.559580698678056
"195" "2016-04-16" 230 136 85 3.35556207826044 0.54543766114606 2.87020687095697 0.511374506349154
"194" "2016-04-09" 275 152 111 3.40669400584562 0.638034387345187 2.8605926437572 0.54095838831565
"193" "2016-04-02" 272 138 122 3.25901424672253 0.618114180991223 2.92257612615841 0.530315866458059
"192" "2016-03-26" 290 188 97 3.36883452478672 0.56394798423451 3.00457871145803 0.489489165103451
"191" "2016-03-19" 237 131 100 3.22947381507365 0.59460685527031 2.73600338052686 0.494802559890429
"190" "2016-03-12" 231 137 91 3.46771351981092 0.614617385831217 3.00394950244436 0.530787646490316
"189" "2016-03-05" 223 132 88 3.29574753406974 0.51309064671096 2.87498004850677 0.455988783461696
"188" "2016-02-27" 232 136 85 3.38784482359814 0.55762628684062 2.89703000807105 0.476896844081949
"187" "2016-02-20" 169 99 61 3.39948277932363 0.478775576776215 2.87133059626314 0.488844369086567
"186" "2016-02-13" 231 134 89 3.39992682828038 0.541744748719239 2.96382450548935 0.47270320271055
"185" "2016-02-06" 282 150 117 3.27736406064535 0.591348867875093 2.72965147700892 0.438341165590854
"184" "2016-01-30" 229 141 80 3.43843734862896 0.511184778757421 2.91946953497552 0.467473447831497
"183" "2016-01-23" 228 132 92 3.27390633930435 0.609787809109704 2.92478279687232 0.527738487946047
"182" "2016-01-16" 163 104 56 3.28853465697694 0.529636494368643 2.98174198552272 0.321316213824601
"181" "2016-01-09" 233 128 99 3.5336443355251 0.583035927417217 3.13433881270131 0.562361240356694
"180" "2016-01-02" 174 108 60 3.36790178433574 0.629838014787023 2.93023555336204 0.543517587854819
"179" "2016-01-01" 179 119 57 3.34425887638772 0.648991705147427 2.90871874879243 0.517810775610985
"178" "2015-12-26" 152 91 53 3.48133833848901 0.581405856717008 3.05494706391965 0.531045971288582
"177" "2015-12-19" 152 91 52 3.35186303043481 0.599494244039233 2.91247137146619 0.522907802466538
"176" "2015-12-12" 104 59 37 3.34603949992524 0.617886195186338 2.99353231695602 0.426768702230756
"175" "2015-12-05" 85 61 22 3.50033462991916 0.59968470706283 2.98342853706026 0.460173543717002
"174" "2015-11-28" 140 88 43 3.45017978670678 0.613743049184818 2.92598292149597 0.509291343255871
"173" "2015-11-21" 122 78 40 3.25799507810794 0.582873089876337 2.83688412817587 0.388851341030704
"172" "2015-11-14" 193 121 63 3.37500017112135 0.551484586647362 2.93653974517577 0.456012427333153
"171" "2015-11-07" 177 97 77 3.35350053701638 0.613992356027071 2.85883198743786 0.508905608087542
"170" "2015-10-31" 270 154 104 3.38245807303572 0.596503196548533 2.86221991473574 0.495533506307677
"169" "2015-10-24" 263 157 101 3.43843536535101 0.582972628833762 2.89298973914418 0.528128927761827
"168" "2015-10-17" 224 138 82 3.54024829700166 0.644744233991773 2.90347812472085 0.504950955703522
"167" "2015-10-10" 206 121 77 3.28693548309354 0.537386066598895 2.86168651072111 0.528508982060353
"166" "2015-10-03" 215 109 94 3.4113152871178 0.63142422010185 2.97316809772335 0.478735768404489
"165" "2015-09-26" 195 106 83 3.38690039730715 0.569859457645651 2.87414825468947 0.4827264398587
"164" "2015-09-19" 234 126 103 3.48384577009045 0.6555213395312 2.95968285208667 0.53168048530261
"163" "2015-09-12" 163 103 48 3.54473967956025 0.695713101390582 2.80556285778974 0.552632967656538
"162" "2015-09-05" 241 151 85 3.4850195239612 0.613935781301606 2.87715774872799 0.464855766930197
"161" "2015-08-29" 196 118 70 3.46664849286815 0.623711544695578 2.91917520067061 0.471345253297084
"160" "2015-08-22" 226 132 83 3.44240588693321 0.590604221606228 2.92349256168259 0.51397715120134
"159" "2015-08-15" 216 140 72 3.50916067175377 0.61203015781019 2.97225823200095 0.550359099554257
"158" "2015-08-08" 219 135 79 3.53573133061371 0.548320523891881 2.90269332619725 0.507589134005934
"157" "2015-08-01" 273 171 95 3.46774339657732 0.606575283178658 2.96229375305799 0.549001187406695
"156" "2015-07-25" 201 119 76 3.43544798401115 0.554883566652976 2.88382720158482 0.495598993893847
"155" "2015-07-18" 196 122 64 3.3462167762858 0.625271708121132 2.81411920378011 0.412534659155614
"154" "2015-07-11" 340 198 125 3.44435818792897 0.625248895312128 2.88296283575005 0.543229490907183
"153" "2015-07-04" 167 109 50 3.49597628879235 0.658085175027815 3.04281815450818 0.52877750295833
"152" "2015-06-27" 322 189 114 3.46721513534858 0.645382202438724 2.89572470606276 0.415115253292039
"151" "2015-06-13" 262 153 102 3.3973693165662 0.622472443664841 2.87537044443588 0.501020373200143
"150" "2015-06-06" 262 159 92 3.48103723196902 0.611970226123053 2.8889108509038 0.484969724973956
"149" "2015-05-30" 208 114 83 3.46060163369623 0.643678458027992 2.9048431067559 0.526935742940038
"148" "2015-05-23" 279 174 96 3.48454119325829 0.598401362909359 2.74686904567509 0.526531846765372
"147" "2015-05-16" 208 121 77 3.39630045909402 0.604442138417523 2.90968635528656 0.489487266367788
"146" "2015-05-09" 201 134 64 3.48897142787721 0.564345671860093 3.00923874167025 0.477961784649408
"145" "2015-05-02" 264 179 75 3.53369799097826 0.515787700331882 3.11603783914542 0.480667655096933
"144" "2015-04-25" 254 138 104 3.41050223447071 0.551138871263547 2.95412501872405 0.469781888142595
"143" "2015-04-18" 301 183 114 3.45875163720284 0.615042148478889 2.93933613112921 0.491703082631943
"142" "2015-04-11" 220 123 88 3.31907741167004 0.557596063597425 2.96274202530785 0.521525241785079
"141" "2015-04-04" 241 142 93 3.39468052261667 0.587504304318667 2.91316644904827 0.511381731378288
"140" "2015-03-28" 209 127 69 3.42409046912853 0.598948323911651 2.97947890296137 0.536174046179111
"139" "2015-03-21" 224 131 85 3.44996927031011 0.601720902339942 2.95766840725315 0.478666002328108
"138" "2015-03-14" 207 116 86 3.40287597803285 0.634146430039612 2.72454479336153 0.481415216629431
"137" "2015-03-07" 207 120 80 3.40782070466272 0.640741451352982 2.92584371603588 0.611887005163715
"136" "2015-02-28" 223 133 85 3.36524030239532 0.592488501080399 2.76906849799992 0.480382303059235
"135" "2015-02-21" 224 124 92 3.23788679330505 0.625989417589438 2.77353691618552 0.579518060859203
"134" "2015-02-14" 204 116 77 3.33799788229989 0.630511413508304 2.83418181639196 0.607035596480052
"133" "2015-02-07" 174 112 57 3.48171751307593 0.684444246975471 2.85941538421259 0.569869334478324
"132" "2015-01-24" 195 121 69 3.27295885804304 0.524456516229799 2.85792735933058 0.507633754000799
"131" "2015-01-17" 206 114 88 3.21694637417597 0.600096818096854 2.77486793256138 0.48431502393688
"130" "2015-01-10" 134 84 48 3.35589090890071 0.482575098149496 2.80713333989358 0.482030673335837
"129" "2015-01-03" 278 164 104 3.44011518171213 0.584559061170828 3.01885800004289 0.543218530280558
"128" "2015-01-01" 151 93 55 3.40775262861067 0.629383052201348 2.99666893684819 0.423094815018006
"127" "2014-12-27" 125 78 45 3.41789938717155 0.599211961645934 3.03943803711807 0.508392600210065
"126" "2014-12-20" 132 82 43 3.53746744149114 0.582673043461026 3.00350415860426 0.546967014600038
"125" "2014-12-13" 87 58 26 3.40897468416589 0.534961348440987 3.00188371013187 0.447821134263845
"124" "2014-12-06" 128 88 34 3.49509611533678 0.539358149646693 2.99950832277563 0.503481363447134
"123" "2014-11-29" 133 85 43 3.41401871785051 0.610801375303085 2.91833765575445 0.544954608699271
"122" "2014-11-22" 127 87 38 3.38023367000314 0.635255040431558 3.12405498260214 0.478955287950147
"121" "2014-11-15" 155 94 52 3.46220943672073 0.630438387395096 3.04041797571301 0.442261162014362
"120" "2014-11-08" 145 92 46 3.48977512310034 0.666995497588382 3.0603583130921 0.382502582656383
"119" "2014-11-01" 187 112 65 3.52388114300505 0.555428193375901 2.90328711899651 0.487520239423132
"118" "2014-10-25" 176 105 65 3.31990578706317 0.598429000647141 2.82835611445331 0.480808979761877
"117" "2014-10-18" 170 100 61 3.3635116134108 0.57538681013137 2.91838964477391 0.470686783191466
"116" "2014-10-11" 154 95 51 3.38133573757813 0.5862217689466 2.86528316548983 0.429440010103863
"115" "2014-10-04" 120 74 45 3.52296765569578 0.578617393244443 3.11939741799477 0.527659322751784
"114" "2014-09-27" 168 108 55 3.47803794678497 0.566365032870443 2.89293333738069 0.462858954969677
"113" "2014-09-20" 152 104 47 3.44353612827111 0.588721003888839 2.97777089978284 0.461503933330846
"112" "2014-09-13" 181 103 72 3.37178373016767 0.592826862554986 2.96768836980971 0.505831309977346
"111" "2014-09-06" 136 87 45 3.48813985395183 0.596009819030273 2.88163504933489 0.451855983867126
"110" "2014-08-30" 178 104 71 3.40707270679179 0.613903427961679 2.85426976580258 0.496819848680678
"109" "2014-08-23" 153 93 55 3.58895246999632 0.627465556965891 3.11231872309426 0.540670651893033
"108" "2014-08-16" 144 93 47 3.4157924773279 0.638768089492458 2.86289656467273 0.528102382709509
"107" "2014-08-09" 145 91 52 3.42682739948464 0.66847237511199 2.97899101010409 0.526421844223823
"106" "2014-08-02" 139 92 42 3.50704604967929 0.596962339814186 2.93312606036984 0.401373289774919
"105" "2014-07-26" 144 99 43 3.56176226560046 0.634493416798186 2.94867174699259 0.492092165883166
"104" "2014-07-19" 133 86 42 3.57005265667436 0.562266735055424 2.94720210878779 0.531134575461861
"103" "2014-07-12" 216 143 68 3.46677031265446 0.560835877492033 3.00914297714454 0.43905622784781
"102" "2014-07-05" 110 79 31 3.51575146284638 0.59023190006215 3.03933670476054 0.543956749083075
"101" "2014-06-28" 165 114 45 3.5500392238283 0.593901818184713 3.2163330481369 0.527490604474873
"100" "2014-06-21" 210 136 72 3.45928194610482 0.608571520295865 2.98037363231591 0.456643395964662
"99" "2014-06-14" 154 107 44 3.52275309252837 0.623711342882866 3.00208211631765 0.460048025128215
"98" "2014-06-07" 173 112 55 3.4697139384441 0.616546613167771 2.85937002383445 0.532953177217965
"97" "2014-05-31" 151 95 50 3.61619953930446 0.57701474250451 3.04231626502091 0.607546789294784
"96" "2014-05-24" 146 106 36 3.55906750195577 0.623637412424548 3.09623698173336 0.52127146582884
"95" "2014-05-17" 172 99 60 3.44535324126452 0.607247333701743 3.05982390762516 0.617627057529586
"94" "2014-05-10" 109 63 37 3.52544797510376 0.593620584068856 3.06660970987675 0.54134536290516
"93" "2014-05-03" 163 91 64 3.36263180959986 0.666548711511292 3.04173419372926 0.550899582613199
"92" "2014-04-26" 152 90 59 3.4592764640961 0.632496527364332 2.99494553641499 0.516433958494576
"91" "2014-04-19" 128 76 50 3.5334795504915 0.683799808444641 3.06566710519021 0.470486679186285
"90" "2014-04-12" 152 94 53 3.53517530653069 0.650497628595351 2.86130507042022 0.454907357556233
"89" "2014-04-05" 146 87 54 3.466808904446 0.642036688752682 2.93795097233153 0.525183078621149
"88" "2014-03-29" 147 94 48 3.39684220769747 0.623345477108407 2.83787617096387 0.497035985246747
"87" "2014-03-22" 145 86 52 3.30681139131115 0.525069425720609 2.7681323521483 0.493247219022331
"86" "2014-03-15" 142 96 44 3.68655188154813 0.589853571388445 2.97360171933325 0.414938297203293
"85" "2014-03-08" 109 68 39 3.54154183528649 0.65929757967352 2.95031986603994 0.474162846956079
"84" "2014-03-01" 130 83 47 3.35571667418578 0.561558540962888 2.9093115251156 0.488193820065657
"83" "2014-02-22" 101 63 37 3.48884910359629 0.533153415843063 2.9151752136971 0.471097108388796
"82" "2014-02-15" 112 72 37 3.22898921461681 0.570587794171622 2.65238543043999 0.449566652753338
"81" "2014-02-08" 128 81 43 3.25166579764339 0.485801304549062 2.64864216297663 0.418305063627112
"80" "2014-02-01" 128 92 33 3.38446859982096 0.590109321154493 2.95164572869192 0.650020034195713
"79" "2014-01-25" 130 81 46 3.38769881419107 0.615764579182638 3.04327489650325 0.452499896862036
