"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"86" "2016-04-09" 159 102 53 3.12432423400777 0.571892147159612 2.81988559162084 0.533805813335463 NA
"85" "2016-04-02" 138 92 41 3.25324530715995 0.558283308605064 2.83616348636743 0.565288356142402 NA
"84" "2016-03-26" 168 95 72 3.31749379007422 0.534105362285486 2.75900451725448 0.552258968161702 NA
"83" "2016-03-19" 105 70 34 3.38140463707347 0.631012486496473 2.7921421034164 0.446154203783822 NA
"82" "2016-03-12" 125 77 48 3.30778035893141 0.604787736198654 2.78651782129144 0.546596527174812 NA
"81" "2016-03-05" 118 76 40 3.27766413768366 0.556534656144682 2.81720632047756 0.448082709891007 NA
"80" "2016-02-27" 163 100 63 3.35284898966278 0.635158740401677 2.85929094908202 0.42694103101769 NA
"79" "2016-02-20" 123 77 42 3.25530926138585 0.566247270942231 2.80769603399364 0.45100801904836 NA
"78" "2016-02-13" 99 67 32 3.316098620745 0.538980273562224 2.96504809733147 0.422956985788064 NA
"77" "2016-02-06" 155 90 63 3.29652368506645 0.63467234259219 2.70308561039796 0.439574298421516 NA
"76" "2016-01-30" 107 62 44 3.29010776655618 0.602555874411873 2.71683605496474 0.364766327986757 NA
"75" "2016-01-23" 129 82 43 3.35533104722854 0.603885014700783 2.74976786128464 0.333316433165105 NA
"74" "2016-01-09" 123 82 41 3.23300787352145 0.604678187754568 2.72676343283732 0.370589253850208 NA
"73" "2016-01-02" 95 56 39 3.09161632056905 0.528321461857883 2.83916443805059 0.461037300210479 NA
"72" "2015-12-19" 95 59 34 3.22804167652502 0.614532917843557 2.86515202012625 0.461607245478081 NA
"71" "2015-12-12" 92 60 32 3.27003978574907 0.637097735745223 2.68886194770811 0.377369546183453 NA
"70" "2015-12-05" 67 43 24 3.06000453059716 0.536164544646453 2.71828132885497 0.402521209175649 NA
"69" "2015-11-28" 95 59 35 3.31449804315881 0.595474501271137 2.75804762583948 0.429715380720209 NA
"68" "2015-11-21" 80 51 29 3.20574192109429 0.58951511857488 2.76770530141025 0.409039669213897 NA
"67" "2015-11-14" 117 71 46 3.27021629379137 0.585518308217382 2.71806487528302 0.459388578326377 NA
"66" "2015-11-07" 118 72 45 3.2628564642252 0.647497497063132 2.74873169157632 0.417555959058549 NA
"65" "2015-10-31" 162 91 66 3.29211854179872 0.635550810188966 2.83371371063227 0.446263409657159 NA
"64" "2015-10-24" 129 81 44 3.34935642312422 0.635251761474229 2.80240499333798 0.507497888836853 NA
"63" "2015-10-17" 131 80 49 3.33150878365078 0.635095465451616 2.90147381190802 0.378960593653633 NA
"62" "2015-10-10" 97 64 33 3.38262356308736 0.531628394771853 2.83422731317343 0.433058051584411 NA
"61" "2015-10-03" 137 82 55 3.28228783474161 0.576975656100769 2.87250720069467 0.492875871184901 NA
"60" "2015-09-26" 129 74 54 3.29234729707316 0.607828481622659 2.69755192460917 0.385823400526899 NA
"59" "2015-09-19" 128 79 48 3.20482902632788 0.636489957705074 2.76071152507143 0.340105726180222 NA
"58" "2015-09-12" 102 67 32 3.26052118472198 0.567033644558293 2.86826901912198 0.480522057075905 NA
"57" "2015-09-05" 122 71 50 3.36442446753456 0.6825763075572 2.8438216398067 0.52422469008267 NA
"56" "2015-08-29" 134 75 59 3.20136710600245 0.614607517496122 2.80069077263737 0.520797478451616 NA
"55" "2015-08-22" 142 84 58 3.39449314556315 0.60097638986301 2.80875586074914 0.569222367096943 NA
"54" "2015-08-15" 144 95 48 3.39876683079811 0.567065908220149 2.67445044751874 0.478927545069085 NA
"53" "2015-08-08" 171 99 71 3.28023523361268 0.607204844365577 2.68294348677936 0.652307972604607 NA
"52" "2015-08-01" 154 86 59 3.25173248025725 0.747459180247233 2.61991929790138 0.667945217211673 NA
"51" "2015-07-25" 134 87 47 3.33881522895475 0.579185258925286 2.97556345427272 0.48676929237696 NA
"50" "2015-07-18" 129 82 41 3.33726880213655 0.624457294467911 2.76474528644665 0.448606969157315 NA
"49" "2015-07-11" 140 80 56 3.29615458057827 0.606667868979396 2.69181747118434 0.564843563775926 NA
"48" "2015-07-04" 101 61 40 3.40143511054978 0.594010136429482 2.7429742203449 0.55226793226798 NA
"47" "2015-06-27" 134 78 54 3.40558392009353 0.542037773400391 2.73569725518841 0.470387454758282 NA
"46" "2015-06-20" 128 69 57 3.34436946505908 0.598881774853545 2.74935931062336 0.498884449653055 NA
"45" "2015-06-13" 174 97 70 3.23549239815866 0.794735910588586 2.53240271661023 0.604243781829592 NA
"44" "2015-06-06" 141 74 66 3.35642372531462 0.528102600439927 2.75936972590837 0.536140747582678 NA
